field_100013_f,isPotionDurationMax,0,"True if potion effect duration is at maximum, false otherwise."
field_104003_g,isAggressive,2.0,
field_104057_T,isGamemodeForced,2.0,
field_110150_bn,lastAttacker,2.0,
field_110152_bk,newPosZ,2.0,
field_110153_bc,lastDamage,2.0,Damage taken in the last hit. Mobs are resistant to damage less than this for a short time after taking damage.
field_110155_d,attributeMap,2.0,
field_110156_b,sprintingSpeedBoostModifierUUID,2.0,
field_110157_c,sprintingSpeedBoostModifier,2.0,
field_110158_av,swingProgressInt,2.0,
field_110168_bw,leashedToEntity,2.0,
field_110169_bv,isLeashed,2.0,
field_110170_bx,leashNBTTag,2.0,
field_110178_bs,aiBase,2.0,
field_110187_bq,babySpeedBoostUUID,2.0,
field_110188_br,babySpeedBoostModifier,2.0,
field_110192_bp,attackingSpeedBoostModifierUUID,2.0,
field_110193_bq,attackingSpeedBoostModifier,2.0,
field_110194_bu,lastEntityToAttack,2.0,
field_110268_bz,horseTextures,2.0,
field_110270_bw,horseArmorTextures,2.0,
field_110271_bv,horseJumpStrength,2.0,
field_110272_by,armorValues,2.0,
field_110274_bs,temper,2.0,"""The higher this value, the more likely the horse is to be tamed next time a player rides it."""
field_110275_br,horseJumping,2.0,
field_110276_bu,horseBreedingSelector,2.0,
field_110277_bt,jumpPower,2.0,
field_110281_bL,rearingAmount,2.0,
field_110282_bM,prevRearingAmount,2.0,
field_110283_bJ,headLean,2.0,
field_110284_bK,prevHeadLean,2.0,
field_110285_bP,gallopTime,2.0,Used to determine the sound that the horse should make when it steps
field_110287_bN,mouthOpenness,2.0,
field_110288_bO,prevMouthOpenness,2.0,
field_110289_bD,eatingHaystackCounter,2.0,
field_110290_bE,openMouthCounter,2.0,
field_110291_bB,horseMarkingTextures,2.0,
field_110293_bH,hasReproduced,2.0,
field_110295_bF,jumpRearingCounter,2.0,
field_110296_bG,horseChest,2.0,
field_110312_d,locationSkin,0.0,
field_110313_e,locationCape,0.0,
field_110314_b,locationStevePng,0.0,
field_110320_a,horseJumpPowerCounter,0.0,
field_110321_bQ,horseJumpPower,0.0,
field_110323_l,statIcons,0.0,
field_110324_m,icons,0.0,
field_110325_k,optionsBackground,0.0,
field_110328_d,pumpkinBlurTexPath,0.0,
field_110329_b,vignetteTexPath,0.0,
field_110330_c,widgetsTexPath,0.0,
field_110352_y,minecraftTitleTextures,0.0,
field_110353_x,splashTexts,0.0,
field_110444_H,locationMojangPng,0.0,
field_110445_I,macDisplayModes,0.0,
field_110446_Y,fileAssets,0.0,
field_110447_Z,launchedVersion,0.0,
field_110448_aq,mcResourcePackRepository,0.0,
field_110449_ao,defaultResourcePacks,0.0,
field_110450_ap,mcDefaultResourcePack,0.0,
field_110451_am,mcResourceManager,0.0,
field_110452_an,metadataSerializer_,0.0,
field_110453_aa,proxy,0.0,
field_110456_c,serverProxy,2.0,
field_110463_b,packFormat,0.0,
field_110464_a,packDescription,0.0,
field_110465_b,charLefts,0.0,
field_110466_c,charSpacings,0.0,
field_110467_a,charWidths,0.0,
field_110475_d,frameTime,0.0,
field_110476_b,frameWidth,0.0,
field_110477_c,frameHeight,0.0,
field_110478_a,animationFrames,0.0,
field_110481_b,textureClamp,0.0,
field_110482_a,textureBlur,0.0,
field_110498_b,frameTime,0.0,
field_110499_a,frameIndex,0.0,
field_110506_b,gsonBuilder,0.0,
field_110507_c,gson,0.0,"Cached Gson instance. Set to null when more sections are registered, and then re-created from the builder."
field_110508_a,metadataSectionSerializerRegistry,0.0,
field_110520_f,locationTexturePackIcon,0.0,
field_110521_d,rePackMetadataSection,0.0,
field_110522_e,texturePackIcon,0.0,
field_110523_b,resourcePackFile,0.0,
field_110524_c,reResourcePack,0.0,
field_110529_f,mcmetaJsonChecked,0.0,
field_110530_g,mcmetaJson,0.0,
field_110531_d,mcmetaInputStream,0.0,
field_110532_e,srMetadataSerializer,0.0,
field_110533_b,srResourceLocation,0.0,
field_110534_c,resourceInputStream,0.0,
field_110535_a,mapMetadataSections,0.0,
field_110539_b,frmMetadataSerializer,0.0,
field_110540_a,resourcePacks,0.0,
field_110546_b,reloadListeners,0.0,
field_110547_c,rmMetadataSerializer,0.0,
field_110548_a,domainResourceManagers,0.0,
field_110553_a,glTextureId,0.0,
field_110559_g,textureUploaded,0.0,
field_110560_d,bufferedImage,0.0,
field_110561_e,imageThread,0.0,
field_110562_b,imageUrl,0.0,
field_110563_c,imageBuffer,0.0,
field_110566_b,dynamicTextureData,0.0,
field_110567_b,layeredTextureNames,0.0,
field_110568_b,textureLocation,0.0,
field_110574_e,mapRegisteredSprites,0.0,
field_110575_b,locationBlocksTexture,0.0,
field_110576_c,locationItemsTexture,0.0,
field_110582_d,theResourceManager,0.0,
field_110583_b,listTickables,0.0,
field_110584_c,mapTextureCounters,0.0,
field_110585_a,mapTextureObjects,0.0,
field_110597_b,resourcePackFile,0.0,
field_110598_a,resourceLog,0.0,
field_110600_d,resourcePackZipFile,0.0,
field_110601_c,entryNameSplitter,0.0,
field_110608_a,defaultResourceDomains,0.0,
field_110617_f,repositoryEntries,0.0,
field_110618_d,dirResourcepacks,0.0,
field_110619_e,repositoryEntriesAll,0.0,
field_110620_b,rprDefaultResourcePack,0.0,
field_110621_c,rprMetadataSerializer,0.0,
field_110622_a,resourcePackFilter,0.0,
field_110625_b,resourcePath,0.0,
field_110626_a,resourceDomain,0.0,
field_110684_D,frontRightLeg,0.0,
field_110685_E,frontRightShin,0.0,
field_110686_F,frontRightHoof,0.0,
field_110687_G,muleLeftChest,0.0,The left chest box on the mule model.
field_110688_A,frontLeftLeg,0.0,
field_110689_B,frontLeftShin,0.0,
field_110690_C,frontLeftHoof,0.0,
field_110691_L,horseLeftSaddleRope,0.0,
field_110692_M,horseLeftSaddleMetal,0.0,
field_110693_N,horseRightSaddleRope,0.0,
field_110694_O,horseRightSaddleMetal,0.0,
field_110695_H,muleRightChest,0.0,The right chest box on the mule model.
field_110696_I,horseSaddleBottom,0.0,
field_110697_J,horseSaddleFront,0.0,
field_110698_K,horseSaddleBack,0.0,
field_110699_Q,horseRightFaceMetal,0.0,The right metal connected to the horse's face ropes.
field_110700_P,horseLeftFaceMetal,0.0,The left metal connected to the horse's face ropes.
